iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative,excess_mortality
AFG,Asia,Afghanistan,9/23/2021,154800,43,62.714,7199,0,2.286,3885.988,1.079,1.574,180.719,0,0.057,0.87,,,,,,,,,,,,,,,,,,3133227,,,,,72098,7.87,,,,1810,,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,
OWID_AFR,,Africa,9/23/2021,8211095,14646,12849.714,207678,462,390.857,5978.286,10.663,9.356,151.205,0.336,0.285,,,,,,,,,,,,,,,,,,,139778380,87670293,56932586,,588242,1342031,10.18,6.38,4.15,,977,,1373486472,,,,,,,,,,,,,,,,
ALB,Europe,Albania,9/23/2021,165864,768,785.571,2609,8,6.571,57733.314,267.323,273.439,908.131,2.785,2.287,1.03,,,,,,,,,,,,,,,,,,1674093,926652,747441,,8503,6922,58.27,32.25,26.02,,2409,,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,
DZA,Africa,Algeria,9/23/2021,202283,161,184.857,5748,9,13.857,4533.803,3.609,4.143,128.831,0.202,0.311,0.71,23,0.516,,,,,,,,,,,,,,,,9989662,5815039,4174623,,,248708,22.39,13.03,9.36,,5574,52.78,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,
AND,Europe,Andorra,9/23/2021,15156,3,6.143,130,0,0,195930.398,38.783,79.412,1680.585,0,0,1.14,,,,,,,,,,212987,2753.406,,158,2.043,0.04,25.1,people tested,,,,,,,,,,,,51.85,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,,
AGO,Africa,Angola,9/23/2021,53840,453,287.571,1460,26,12.714,1586.627,13.35,8.475,43.025,0.766,0.375,1.11,,,,,,,,,,,,,,,,,,2820134,1836547,983587,,,43850,8.31,5.41,2.9,,1292,56.94,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,
AIA,North America,Anguilla,9/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18565,9498,9067,,,12,122.74,62.8,59.95,,793,,15125,,,,,,,,,,,,,81.88,,,
ATG,North America,Antigua and Barbuda,9/23/2021,2815,190,73,63,6,2.143,28512.681,1924.479,739.405,638.117,60.773,21.705,1.49,,,,,,,,,,,,,,,,,,81915,45099,36816,,,361,82.97,45.68,37.29,,3657,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,
ARG,South America,Argentina,9/23/2021,5246998,1733,1735.286,114772,88,95.857,115051.054,38,38.05,2516.608,1.93,2.102,0.72,,,,,,,,,28935,13858968,303.886,0.634,25423,0.557,0.025,40,tests performed,50010169,29201859,20840361,,280822,296172,109.66,64.03,45.7,,6494,75.93,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,,
ARM,Asia,Armenia,9/23/2021,255648,939,617.857,5200,19,17.857,86131.056,316.361,208.164,1751.946,6.401,6.016,1.16,,,,,,,,,4025,1655479,557.752,1.356,5519,1.859,0.124,8.1,tests performed,366779,237454,129325,,,4437,12.36,8,4.36,,1495,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,
